"iso.3","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1020,8070,19700,31500,42900,53300,65800,81700,109000,152000,278000,291000,372000,396000,425000,499000,613000,611000,602000,612000,610000,596000
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,3010,4530,6990,18800,46500,64400,109000,138000,212000,327000,502000,778000,923000,1100000,1440000,1510000,1890000,1950000,3130000,4150000,5380000,7110000,7020000,7540000,8330000,8840000,8500000,8170000
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,234,500,1150,1940,2430,2990,4060,5140,6540,8580,17900,35400,75800,136000,153000,198000,332000,621000,1e+06,1320000,1680000,2e+06,2530000,3340000,3990000,4610000,5370000,6040000
"CUW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201000,204000,206000,205000,204000,193000,190000,187000,187000,186000,186000
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,559,988,1260,1810,2530,12095.188930282,4110,5170,8410,10700,17000,19000,21000,33800,80900,92600,101000,98300,109000,101000,96800,98800,98000,91100,93200,95700,96700,96700,96700
"CYP",0,0,0,0,0,0,0,0,0,168,1350,3160,5130,9740,15300,22900,44500,70800,92000,116000,152000,218000,314000,418000,552000,658000,783000,868000,988000,1020000,978000,1030000,1090000,1110000,1100000,1110000,1110000,1130000,1180000,1200000,1240000
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,1240,4650,14000,30400,48900,2e+05,526000,965000,1940000,4350000,6950000,8610000,9710000,10800000,11800000,12400000,13200000,13800000,13100000,12900000,13200000,13500000,13700000,13900000,12500000,12500000,12600000,12700000,13200000
"DEU",0,0,0,0,0,0,1080,23800,48700,98800,164000,273000,532000,972000,1770000,2490000,3730000,5510000,8280000,13900000,23400000,48200000,56100000,59100000,64800000,71300000,79300000,85700000,96200000,1.06e+08,1.05e+08,88400000,90900000,92400000,1e+08,99500000,96400000,1.03e+08,1.1e+08,1.08e+08,1.07e+08
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,203,220,280,230,3000,15000,23000,34500,44100,44800,69500,113000,129000,166000,193000,212000,244000,287000,314000,345000,373000,395000,395000
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,556,650,800,1200,7710,12200,23800,41800,52000,71500,89000,91000,98500,106000,109000,109000,93600,73900,77300,78400,75200,75800,75800
"DNK",0,0,0,7200,16100,30600,46100,57600,77400,101000,124000,148000,176000,211000,358000,504000,822000,1320000,1440000,1930000,2630000,3360000,3960000,4480000,4770000,5170000,5450000,5830000,6310000,6560000,6830000,6420000,7170000,7290000,7030000,7160000,7080000,6990000,7140000,7220000,7240000
"DOM",0,0,0,0,0,0,0,0,0,0,0,3170,5610,7190,10400,21000,56000,82500,142000,209000,424000,705000,1270000,1700000,2090000,2530000,3620000,4610000,5510000,7210000,8630000,8890000,8770000,8930000,9200000,8300000,8800000,8710000,8770000,8940000,8950000
"DZA",0,0,0,0,0,0,0,0,0,0,0,470,4780,4780,4780,1350,4690,11700,17400,18000,72000,86000,1e+05,450000,1450000,4880000,13700000,2.1e+07,27600000,2.7e+07,32700000,32800000,35600000,37500000,39500000,43300000,43200000,4.7e+07,45800000,47200000,47100000
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18900,54400,59800,127000,243000,383000,482000,859000,1560000,2400000,3540000,6250000,8490000,9940000,11700000,13200000,14800000,15300000,16500000,16600000,16600000,12900000,13900000,14700000,15800000,15900000
"EGY",0,0,0,0,0,0,0,0,2630,3020,3620,4000,4500,4910,6880,7370,7370,7370,65400,90800,481000,1360000,2790000,4490000,5800000,7640000,13600000,1.8e+07,30100000,41300000,55400000,70700000,83400000,96800000,99700000,95300000,9.4e+07,97800000,1.03e+08,93800000,95300000
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,40400,62000,84300,109000,141000,185000,242000,305000,355000,417000,475000,506000,695000,695000,695000
